year,month,week_of_month,week_label,culex,total_mosquito,week_start,week_end,weather_days,avg_temp,peak_temp,hot_days,rain_per_day,humidity,hot_day_ratio
2008,4,2,4월 2주,15,15,2008-04-08,2008-04-14,7,13.37,23.9,0,2.34,65.0,0.0
2008,4,3,4월 3주,20,20,2008-04-15,2008-04-21,7,17.6,28.7,0,0.1,52.14,0.0
2008,4,4,4월 4주,34,34,2008-04-22,2008-04-28,7,12.01,20.2,0,3.99,66.43,0.0
2008,5,1,5월 1주,14,14,2008-05-01,2008-05-07,7,18.01,27.9,0,0.19,63.86,0.0
2008,5,2,5월 2주,37,40,2008-05-08,2008-05-14,7,16.07,24.4,0,1.59,52.14,0.0
2008,5,3,5월 3주,12,13,2008-05-15,2008-05-21,7,15.19,25.2,0,5.87,69.86,0.0
2008,5,4,5월 4주,28,33,2008-05-22,2008-05-28,7,20.5,29.0,0,3.47,78.29,0.0
2008,5,5,5월 5주,57,76,2008-05-29,2008-05-31,3,19.5,29.0,0,0.07,74.0,0.0
2008,6,2,6월 2주,114,133,2008-06-08,2008-06-14,7,21.94,30.1,0,0.84,76.14,0.0
2008,6,3,6월 3주,287,406,2008-06-15,2008-06-21,7,22.86,29.7,0,6.76,70.43,0.0
2008,6,4,6월 4주,363,505,2008-06-22,2008-06-28,7,23.37,28.9,0,0.3,67.43,0.0
2008,6,5,6월 5주,444,847,2008-06-29,2008-06-30,2,23.85,28.5,0,2.7,70.5,0.0
2008,7,2,7월 2주,983,1533,2008-07-08,2008-07-14,7,26.51,32.3,0,1.96,81.71,0.0
2008,7,3,7월 3주,653,1020,2008-07-15,2008-07-21,7,25.34,32.1,0,18.74,86.71,0.0
2008,7,4,7월 4주,825,1291,2008-07-22,2008-07-28,7,25.14,31.6,0,15.84,88.71,0.0
2008,7,5,7월 5주,368,855,2008-07-29,2008-07-31,3,26.8,32.3,0,4.47,85.0,0.0
2008,8,1,8월 1주,517,1090,2008-08-01,2008-08-07,7,26.54,32.9,0,3.99,82.57,0.0
2008,8,2,8월 2주,371,682,2008-08-08,2008-08-14,7,28.36,36.0,4,9.79,78.71,0.571
2008,8,3,8월 3주,380,523,2008-08-15,2008-08-21,7,24.13,28.9,0,9.69,78.57,0.0
2008,8,4,8월 4주,347,606,2008-08-22,2008-08-28,7,23.01,29.4,0,9.73,78.71,0.0
2008,9,1,9월 1주,255,376,2008-09-01,2008-09-07,7,22.5,29.6,0,6.91,82.71,0.0
2008,9,2,9월 2주,355,680,2008-09-08,2008-09-14,7,23.21,30.8,0,0.37,81.43,0.0
2008,9,3,9월 3주,551,860,2008-09-15,2008-09-21,7,23.44,31.4,0,1.04,76.71,0.0
2008,9,4,9월 4주,339,551,2008-09-22,2008-09-28,7,18.56,26.0,0,0.71,71.14,0.0
2008,9,5,9월 5주,601,848,2008-09-29,2008-09-30,2,16.7,23.1,0,0.0,73.0,0.0
2008,10,1,10월 1주,582,820,2008-10-01,2008-10-07,7,18.59,26.3,0,0.0,76.86,0.0
2008,10,2,10월 2주,643,855,2008-10-08,2008-10-14,7,15.64,24.3,0,0.24,72.29,0.0
2008,10,3,10월 3주,329,444,2008-10-15,2008-10-21,7,16.83,27.7,0,0.0,79.71,0.0
